nid,uid,calendar_status,available_days_30,available_days_60,available_days_90,available_days_180,available_days_365,note
56205.0,29083.0,blocked,13.0,24.0,36.0,126.0,288.0,
56312.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56321.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56425.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56427.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56487.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56508.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56562.0,129588.0,blocked,0.0,0.0,0.0,0.0,0.0,
56573.0,129588.0,open,0.0,0.0,0.0,0.0,0.0,
56763.0,29083.0,blocked,30.0,60.0,90.0,180.0,365.0,
56848.0,144646.0,blocked,14.0,38.0,68.0,149.0,242.0,
57106.0,132164.0,open,0.0,0.0,0.0,0.0,2.0,
57867.0,134225.0,open,0.0,0.0,0.0,0.0,0.0,
57877.0,134225.0,blocked,0.0,0.0,0.0,0.0,0.0,
57880.0,134225.0,open,0.0,0.0,0.0,0.0,0.0,
57889.0,134225.0,blocked,30.0,60.0,90.0,180.0,365.0,
57965.0,134225.0,blocked,0.0,0.0,0.0,0.0,0.0,
58814.0,10348.0,blocked,0.0,0.0,0.0,0.0,0.0,
58815.0,10348.0,blocked,2.0,2.0,2.0,2.0,4.0,
59238.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59240.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59242.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59245.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59246.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59247.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59250.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59252.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59254.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59255.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59256.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59258.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59259.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59260.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59267.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59268.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59270.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59271.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59272.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59273.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59275.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59277.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59278.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59283.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59285.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59286.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59288.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59290.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59291.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59292.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59293.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59294.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59297.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59299.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59300.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59306.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59307.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59308.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59309.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59311.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59312.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59313.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59314.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59316.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59317.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59319.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59322.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59325.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59326.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59328.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59330.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59331.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59333.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59334.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59357.0,137369.0,blocked,0.0,0.0,0.0,0.0,0.0,
59584.0,132552.0,blocked,30.0,54.0,61.0,147.0,202.0,
59585.0,132552.0,blocked,30.0,60.0,68.0,140.0,189.0,
59586.0,132552.0,blocked,30.0,44.0,62.0,146.0,201.0,
59587.0,132552.0,blocked,24.0,30.0,38.0,117.0,172.0,
59588.0,132552.0,blocked,30.0,53.0,56.0,140.0,195.0,
59589.0,132552.0,blocked,8.0,16.0,24.0,50.0,64.0,
59591.0,132552.0,blocked,0.0,6.0,10.0,12.0,12.0,
59593.0,132552.0,blocked,0.0,0.0,0.0,26.0,40.0,
59594.0,132552.0,blocked,8.0,14.0,20.0,44.0,58.0,
59858.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
59861.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
60110.0,140207.0,open,0.0,7.0,10.0,10.0,10.0,
60508.0,3161.0,open,0.0,0.0,0.0,0.0,0.0,
60837.0,129656.0,open,0.0,0.0,0.0,0.0,0.0,
60848.0,144646.0,blocked,1.0,1.0,1.0,1.0,166.0,
60849.0,144646.0,blocked,27.0,57.0,87.0,177.0,362.0,
61006.0,29083.0,blocked,7.0,9.0,26.0,100.0,271.0,
61189.0,146266.0,blocked,0.0,0.0,0.0,0.0,0.0,
61240.0,146266.0,blocked,0.0,0.0,0.0,0.0,0.0,
61397.0,124954.0,open,0.0,0.0,0.0,0.0,0.0,
61796.0,147979.0,open,0.0,0.0,0.0,0.0,0.0,
61800.0,147979.0,blocked,0.0,0.0,0.0,0.0,0.0,
61818.0,147979.0,open,0.0,0.0,0.0,0.0,0.0,
61827.0,147979.0,open,0.0,0.0,0.0,0.0,0.0,
61837.0,147979.0,open,0.0,0.0,0.0,0.0,0.0,
61851.0,147979.0,open,0.0,0.0,0.0,0.0,0.0,
63410.0,29083.0,blocked,18.0,28.0,47.0,137.0,314.0,
63676.0,29083.0,blocked,29.0,38.0,67.0,157.0,342.0,
65224.0,144646.0,blocked,1.0,3.0,11.0,89.0,234.0,
65423.0,153096.0,blocked,0.0,0.0,0.0,0.0,0.0,
65435.0,153096.0,open,0.0,0.0,0.0,0.0,0.0,
65718.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
65720.0,55.0,open,0.0,0.0,0.0,0.0,0.0,
65736.0,154971.0,blocked,0.0,0.0,0.0,0.0,0.0,
65750.0,154971.0,blocked,0.0,0.0,0.0,0.0,0.0,
65759.0,155214.0,blocked,0.0,0.0,0.0,0.0,0.0,
65777.0,155214.0,blocked,0.0,0.0,0.0,0.0,0.0,
65799.0,137707.0,open,0.0,0.0,0.0,0.0,0.0,
65828.0,137707.0,open,0.0,0.0,0.0,0.0,0.0,
65844.0,137707.0,open,0.0,0.0,0.0,0.0,0.0,
65928.0,146266.0,blocked,0.0,0.0,0.0,0.0,0.0,
66028.0,144646.0,blocked,14.0,44.0,74.0,164.0,335.0,
66030.0,144646.0,blocked,14.0,36.0,63.0,140.0,286.0,
66032.0,144646.0,blocked,14.0,44.0,74.0,137.0,268.0,
66035.0,144646.0,blocked,11.0,41.0,71.0,161.0,292.0,
